,WVSC,Z1,Y1,J1,H1,K1,Z2,Y2,J2,H2,K2
84,155.0,0.00023487459007645004,0.00018359432832045153,0.00021109572275080198,0.00013467561658613296,0.00016508710295766137,0.000244799654201887,0.00030199239057468577,0.0002592707953830635,0.00025158248352756416,0.00012927805217805198
85,156.0,0.0005339985935539808,0.00037522365094474455,0.000557592734738945,0.00039748751086415195,0.0002745656867027684,0.0007691849886600834,0.0008556934349331646,0.0009179140131978503,0.0008903254748378433,0.0006208798993138819
86,157.0,0.00018318112225197442,0.00013560292589980167,0.0002383696481252452,0.00022735029964878362,0.0002491652518900256,0.00039949228809945476,0.0005491072780112573,0.0005916324687080781,0.000679745592054944,0.0004802042506433279
87,158.0,0.0002548141861688979,0.00020869709444255218,0.00020430407753056236,0.0002139956530008413,0.00022058118006207492,0.0003334494458393895,0.0003548045658726595,0.00044578310000086246,0.00044553107428502555,0.00029114919924862117
88,159.0,0.0010545350037226876,0.0011328666265239956,0.0006945002530745151,0.0003915522119172397,0.0002810580407902664,0.010979819482375827,0.009697835207453558,0.007512083384928869,0.005109857629259403,0.00315938680493634
89,160.0,0.0008760085258273686,0.0008982492258547234,0.000978006393817722,0.001077975853322314,0.0007426451118772452,0.0015314499217807278,0.0017145257024218745,0.0019099218623527961,0.0020619370389046705,0.0014903902473172648
90,161.0,5.3017221058147086e-05,7.199124968523381e-05,0.00010348508369463022,0.00014955719093252243,0.00011737287877774372,5.931656592135142e-05,7.965678976564332e-05,0.00012462810743323196,0.00018651269610117736,0.00013920806602758798
91,162.0,0.0005436054058691515,0.00034325937487161395,0.0004891820993722107,0.0004078530131817158,0.0005137265327416853,0.00056987761754086,0.0009633488870937726,0.0010819604852442721,0.0011473174526690417,0.0007546681127748149
92,163.0,0.00097031940506418,0.0015519928866060944,0.0016259468531347743,0.0021348119021859582,0.0021862146946393136,0.006553202677096452,0.00950083990447692,0.013412742901120621,0.019052887362955902,0.015659633732244518
93,164.0,0.0038157741215235005,0.004419603917795729,0.005409131679562163,0.005778946997875961,0.004537083067816916,0.009967081282766896,0.012305452830185585,0.014492963551633853,0.01495316756371086,0.011174646667204292
94,165.0,0.0009819805505347098,0.0010194215336105845,0.0011751342977461884,0.001157227993865998,0.0009181387061703199,0.0014122942794781066,0.001808962650039033,0.0021850229355843092,0.002292725176469775,0.001847666565102
