,T1,T1ERR,T2,T2ERR,N1,N2,CHI1,CHI2,WVSC,BOLO1,BOLO2,DIST,DISTERR,BOLO1ABS,BOLO2ABS,SPEC1,SPEC2,MSQ1,MSQ2
20,2823.1736775810837,0.20464389846592906,2519.294695464918,0.20576207816618458,2.0956045536908248e-14,1.2796147252874166e-13,366.1068975065408,12211.860062408723,95,2.390717640372341,9.256834737487372,0.5848175641987853,[0.01299276],0.008176531256350596,0.03165944705797601,M,M,MSQ,MSQ
21,1664.5771950246256,0.07674200016881913,1953.5677615332495,0.04771395206564675,4.251518761008662e-14,4.766931694846469e-14,658.0046868617837,2871.1906773010005,98,0.5861615550721881,1.2468540433251614,0.58248599391895,[0.01914675],0.001988787148131203,0.0042304502495990525,COLD,COLD,NOT_MSQ,NOT_MSQ
22,1919.1854072007,0.002055602903847984,1928.5549178480617,0.001358146174071711,4.317507058875561e-15,1.2874997342145269e-14,6.728505044134476,89.46291422607123,103,0.10518724615886516,0.31984356657406987,1.0605175596122887,[0.10436918],0.0011830383218151329,0.0035972725787656147,COLD,COLD,NOT_MSQ,NOT_MSQ
23,1745.6090113141074,0.003958325971631219,2016.8013759263683,0.0008860142676104691,3.169661157465755e-15,1.2930187865271932e-15,4.921392723375934,14.245873103753246,107,0.05285183263461986,0.03841677529474944,2.2632921273766597,[1.76436102],0.0027073305042052877,0.001967895954482891,COLD,COLD,NOT_MSQ,NOT_MSQ
24,2007.284917211443,8.529871866700357e-05,1881.5519396210814,0.00011468718041638228,5.340256846423334e-16,9.277582027634565e-16,0.07976756876566829,0.6661566820663953,108,0.015569034291638506,0.020881485449564422,2.2653174964232052,[5.74946688],0.0007989504281877437,0.0010715675377557324,COLD,COLD,NOT_MSQ,NOT_MSQ
25,2004.069031779815,0.001255107788778266,2100.1281156734744,0.0022635294874414798,5.504493443992861e-15,3.642842572189376e-15,1.625911981808017,46.57776532089443,110,0.15945255155634094,0.12725885605704174,6.21208604700806,[4.99180535],0.06153276046281176,0.049109209166606105,COLD,COLD,NOT_MSQ,NOT_MSQ
26,2282.4435677408314,0.08756945503789816,2207.2234037146986,0.04662154857984994,4.0047779347866186e-15,1.4277948069469995e-14,305.0435881068328,2053.715608770033,120,0.1951841869286941,0.6085781964007548,1.3857379075767498,[0.07564728],0.0037480625050696392,0.011686341784264937,COLD,COLD,NOT_MSQ,NOT_MSQ
27,2351.872655059563,0.053369174222034146,2015.9931195657557,0.0004445398087678342,1.3985269080013267e-15,3.0915435581765783e-15,21.859918220670572,13.363701310777632,121,0.07684091029446502,0.09170544007721756,4.546238420281802,[2.04701088],0.01588169739422044,0.018953940591397378,COLD,COLD,NOT_MSQ,NOT_MSQ
28,1767.8710664721184,0.0005006403477900452,1855.1735169267051,0.0005382353134665452,1.045611795528072e-15,7.21684731176093e-16,0.49032148928379365,5.057547617801879,122,0.018341404455747473,0.015351364564135134,inf,[nan],inf,inf,COLD,COLD,NOT_MSQ,NOT_MSQ
29,1926.7548251217565,0.08670509901280313,2164.934439559042,0.0006815493250505089,1.7369422891880592e-15,2.7481418891126693e-15,28.95517363669396,21.20351483955762,124,0.042988630981313176,0.1084134614746655,11.146573936088778,[15.57102701],0.05341170195693643,0.13469950915444945,COLD,COLD,NOT_MSQ,NOT_MSQ
30,1797.0168761477466,0.0002469026103724897,2053.1239697276437,0.00014374997853465053,1.261463368695544e-15,5.055335026091973e-16,0.38330765462810545,1.784767583141217,127,0.023623464170294296,0.016131494399455094,-3.116811988804848,[9.68791668],0.002294905436565545,0.0015670967615235636,COLD,COLD,NOT_MSQ,NOT_MSQ
31,2272.6029284474776,0.009899140429163386,1699.279166229246,0.0012837369587368791,1.2123381950255461e-14,2.1541779418269703e-14,151.44152329004714,135.1278511607559,137,0.5807429693501243,0.32255130775929747,3.8506715280419206,[0.64827163],0.08611065811034023,0.04782684742027184,COLD,COLD,NOT_MSQ,NOT_MSQ
32,1863.689580377288,0.0003073267031350087,1935.4949215416486,0.00110954704350037,2.1437200924427528e-15,4.569795564435675e-15,0.16587321642892883,6.352621867140735,141,0.04644338320168558,0.1151668377838964,4.140178734662511,[4.31149756],0.007960897448385518,0.01974083974612717,COLD,COLD,NOT_MSQ,NOT_MSQ
33,1875.4142073979099,0.004329499360711075,2304.143382070789,0.0008114331938567008,1.8537067658692593e-15,8.449217431237824e-16,2.3799130691913355,3.6578889885384696,144,0.04118048797481021,0.042768167063995687,-20.67820030509444,[140.2267044],0.17608281168533757,0.1828715364388859,COLD,COLD,NOT_MSQ,NOT_MSQ
34,1669.3869770802744,0.0008681181821760763,1873.3959067981473,0.0013314493250824017,2.8352442249273017e-15,3.072223138471213e-15,0.799450573236775,14.991942056283309,145,0.03954359486429361,0.06795675595080984,1.43372566003016,[0.92047905],0.0008128459835833684,0.0013968981910101738,COLD,COLD,NOT_MSQ,NOT_MSQ
35,2183.534493341041,0.0027705115004138118,2159.399583227176,0.0011939680151664825,3.674757723036963e-15,4.8394501505305825e-15,1.7044831353787993,6.554653433809526,146,0.15001481895830474,0.18897009731143774,1.88450671685495,[0.33363531],0.00532757462418959,0.006711018965712119,COLD,COLD,NOT_MSQ,NOT_MSQ
36,2298.7639408804594,0.010685854303567423,2060.6592423407415,0.00023316734778268934,2.4696225791271104e-15,7.209727586279172e-15,14.952529884613678,5.622420355075221,150,0.12384378086982817,0.2334573912614413,5.874984604602844,[2.99553686],0.042745230962802624,0.08057885538824744,COLD,COLD,NOT_MSQ,NOT_MSQ
37,1695.7874668313648,0.0003842088270108339,1820.348254562549,0.0003024719145325623,1.4728567051521749e-15,6.350014862964313e-16,0.5224909451881066,1.211035472419461,151,0.021872800981660785,0.01252141486802192,1.0275918618904782,[1.62657382],0.0002309647558989359,0.0001322192585634911,COLD,COLD,NOT_MSQ,NOT_MSQ
